,val,x,y
328,0.5,4,3
329,0.5,5,3
330,0.5,6,3
331,0.5,7,3
332,0.5,8,3
333,0.5,9,3
334,0.5,10,3
335,0.5,11,3
336,0.5,12,3
337,0.5,13,3
338,0.5,14,3
339,0.5,15,3
340,0.5,16,3
341,0.5,17,3
342,0.5,18,3
343,0.5,19,3
344,0.5,20,3
345,0.5,21,3
346,0.5,22,3
347,0.5,23,3
348,0.5,24,3
349,0.5,25,3
350,0.5,26,3
351,0.5,27,3
352,0.5,28,3
353,0.5,29,3
354,0.5,30,3
355,0.5,31,3
356,0.5,32,3
357,0.5,33,3
358,0.5,34,3
359,0.5,35,3
360,0.5,36,3
361,0.5,37,3
362,0.5,38,3
363,0.5,39,3
364,0.5,40,3
365,0.5,41,3
366,0.5,42,3
367,0.5,43,3
368,0.5,44,3
369,0.5,45,3
370,0.5,46,3
371,0.5,47,3
372,0.5,48,3
373,0.5,49,3
374,0.5,50,3
375,0.5,51,3
376,0.5,52,3
377,0.5,53,3
378,0.5,54,3
379,0.5,55,3
380,0.5,56,3
381,0.5,57,3
382,0.5,58,3
383,0.5,59,3
384,0.5,60,3
385,0.5,61,3
386,0.5,62,3
387,0.5,63,3
388,0.5,64,3
389,0.5,65,3
390,0.5,66,3
391,0.5,67,3
392,0.5,68,3
393,0.5,69,3
394,0.5,70,3
395,0.5,71,3
396,0.5,72,3
397,0.5,73,3
398,0.5,74,3
399,0.5,75,3
400,0.4,76,3
401,0.5,77,3
402,0.5,78,3
403,0.5,79,3
404,0.4,80,3
405,0.4,81,3
406,0.4,82,3
407,0.4,83,3
408,0.5,84,3
409,0.5,85,3
410,0.5,86,3
411,0.5,87,3
412,0.4,88,3
413,0.5,89,3
414,0.4,90,3
415,0.4,91,3
416,0.5,92,3
417,0.4,93,3
418,0.4,94,3
419,0.4,95,3
420,0.4,96,3
421,0.4,97,3
422,0.4,98,3
423,0.4,99,3
424,0.4,100,3
425,0.4,101,3
426,0.4,102,3
427,0.4,103,3
428,0.4,104,3
429,0.4,105,3
430,0.4,106,3
431,0.4,107,3
432,0.5,0,4
433,0.5,1,4
434,0.5,2,4
435,0.5,3,4
436,0.5,4,4
437,0.5,5,4
438,0.5,6,4
439,0.5,7,4
440,0.5,8,4
441,0.5,9,4
442,0.5,10,4
